Source Name,Sample Name,Characteristics: Organism,Factor Value: Strain,Characteristics: sex,Characteristics: Material Type,Protocol REF,Comment: plate,Comment: plate well,Protocol REF,Factor Value: Ionizing Radiation,Factor Value: Particle Charge,Factor Value: HZE,Parameter Value: ionizing radiation energy,Parameter Value: linear energy transfer,Parameter Value: absorbed radiation dose rate,Factor Value: Absorbed Radiation Dose,Factor Value: Time of Sample Collection After Treatment,Parameter Value: average fractionated dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation source,Parameter Value: ionizing radiation facility
247CC,247CC_P292_A3_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P292,A3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
907CC,907CC_P292_C1_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P292,C1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
254CC,254CC_P287_F7_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P287,F7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
937CC,937CC_P287_A8_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P287,A8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
938CC,938CC_P287_B8_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P287,B8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
254CC,254CC_P292_F7_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P292,F7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
937CC,937CC_P292_A8_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P292,A8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
938CC,938CC_P292_B8_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P292,B8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
251CC,251CC_P287_D8_CC011_MALE_1,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P287,D8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
934CC,934CC_P287_A9_CC011_MALE_1,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P287,A9,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
251CC,251CC_P292_D8_CC011_MALE_2,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P292,D8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
934CC,934CC_P292_A9_CC011_MALE_2,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P292,A9,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
226CC,226CC_P287_G4_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P287,G4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
253CC,253CC_P287_B3_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P287,B3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
253CC,253CC_P287_H1_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P287,H1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
942CC,942CC_P287_B7_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P287,B7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
226CC,226CC_P292_G4_CC013_FEMALE_2,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P292,G4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
253CC,253CC_P292_B3_CC013_FEMALE_2,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P292,B3,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
253CC,253CC_P292_H1_CC013_FEMALE_2,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P292,H1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
942CC,942CC_P292_B7_CC013_FEMALE_2,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P292,B7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
213CC,213CC_P287_H8_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P287,H8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
235CC,235CC_P287_H2_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P287,H2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
236CC,236CC_P287_F1_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P287,F1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
213CC,213CC_P292_H8_CC013_MALE_2,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P292,H8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
235CC,235CC_P292_H2_CC013_MALE_2,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P292,H2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
236CC,236CC_P292_F1_CC013_MALE_2,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P292,F1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
927CC,927CC_P287_C8_CC019_FEMALE_1,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P287,C8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
928CC,928CC_P287_E8_CC019_FEMALE_1,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P287,E8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
927CC,927CC_P292_C8_CC019_FEMALE_2,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P292,C8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
928CC,928CC_P292_E8_CC019_FEMALE_2,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P292,E8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
919CC,919CC_P287_B10_CC019_MALE_1,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P287,B10,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
925CC,925CC_P287_B9_CC019_MALE_1,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P287,B9,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
919CC,919CC_P292_B10_CC019_MALE_2,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P292,B10,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
925CC,925CC_P292_B9_CC019_MALE_2,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P292,B9,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
233CC,233CC_P287_G6_CC032_FEMALE_1,Mus musculus,CC032,female,primary cultured fibroblast cell,growth protocol,P287,G6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
233CC,233CC_P292_G6_CC032_FEMALE_2,Mus musculus,CC032,female,primary cultured fibroblast cell,growth protocol,P292,G6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
906CC,906CC_P287_C9_CC032_MALE_1,Mus musculus,CC032,male,primary cultured fibroblast cell,growth protocol,P287,C9,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
906CC,906CC_P292_C9_CC032_MALE_2,Mus musculus,CC032,male,primary cultured fibroblast cell,growth protocol,P292,C9,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
263CC,263CC_P287_C4_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P287,C4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
882CC,882CC_P287_A10_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P287,A10,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
946CC,946CC_P287_B1_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P287,B1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
263CC,263CC_P292_C4_CC037_FEMALE_2,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P292,C4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
882CC,882CC_P292_A10_CC037_FEMALE_2,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P292,A10,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
946CC,946CC_P292_B1_CC037_FEMALE_2,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P292,B1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
894CC,894CC_P287_G8_CC037_MALE_1,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P287,G8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
894CC,894CC_P292_G8_CC037_MALE_2,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P292,G8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
258CC,258CC_P287_E7_CC040_FEMALE_1,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P287,E7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
951CC,951CC_P287_H5_CC040_FEMALE_1,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P287,H5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
258CC,258CC_P292_E7_CC040_FEMALE_2,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P292,E7,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
951CC,951CC_P292_H5_CC040_FEMALE_2,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P292,H5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
954CC,954CC_P287_F2_CC040_MALE_1,Mus musculus,CC040,male,primary cultured fibroblast cell,growth protocol,P287,F2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
954CC,954CC_P292_F2_CC040_MALE_2,Mus musculus,CC040,male,primary cultured fibroblast cell,growth protocol,P292,F2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
261CC,261CC_P287_F8_CC042_FEMALE_1,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P287,F8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
915CC,915CC_P287_G5_CC042_FEMALE_1,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P287,G5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
261CC,261CC_P292_F8_CC042_FEMALE_2,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P292,F8,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
915CC,915CC_P292_G5_CC042_FEMALE_2,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P292,G5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
921CC,921CC_P287_B2_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P287,B2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
922CC,922CC_P287_A1_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P287,A1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
923CC,923CC_P287_C10_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P287,C10,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
921CC,921CC_P292_B2_CC051_FEMALE_2,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P292,B2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
922CC,922CC_P292_A1_CC051_FEMALE_2,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P292,A1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
923CC,923CC_P292_C10_CC051_FEMALE_2,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P292,C10,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
280CC,280CC_P287_C2_CC051_MALE_1,Mus musculus,CC051,male,primary cultured fibroblast cell,growth protocol,P287,C2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
280CC,280CC_P292_C2_CC051_MALE_2,Mus musculus,CC051,male,primary cultured fibroblast cell,growth protocol,P292,C2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
260CC,260CC_P287_D2_CC061_FEMALE_1,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P287,D2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
893CC,893CC_P287_G1_CC061_FEMALE_1,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P287,G1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
260CC,260CC_P292_D2_CC061_FEMALE_2,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P292,D2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
893CC,893CC_P292_G1_CC061_FEMALE_2,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P292,G1,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
255CC,255CC_P287_A2_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P287,A2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
256CC,256CC_P287_A4_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P287,A4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
257CC,257CC_P287_B4_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P287,B4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
255CC,255CC_P292_A2_CC061_MALE_2,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P292,A2,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
256CC,256CC_P292_A4_CC061_MALE_2,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P292,A4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
257CC,257CC_P292_B4_CC061_MALE_2,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P292,B4,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,0.1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3F1,B6C3F1_P288_C5_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P288,C5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3F2,B6C3F2_P288_D6_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P288,D6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3F3,B6C3F3_P288_A6_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P288,A6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3F1,B6C3F1_P291_C5_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P291,C5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3F2,B6C3F2_P291_D6_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P291,D6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3F3,B6C3F3_P291_A6_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P291,A6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3M1,B6C3M1_P288_B5_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P288,B5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3M2,B6C3M2_P288_B6_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P288,B6,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
B6C3M3,B6C3M3_P288_A5_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P288,A5,irradiation protocol,X-ray radiation,Not Applicable,Not Applicable,Kilovolt Peak,Not Applicable,1 gray per minute,1 gray,48 hour,Not Applicable,Not Applicable,X-Ray Machine,Faxitron CP160
